x,y,theta,theta_degree,v,omega
0.014104027301073074,-0.028881127014756203,-1.170620012785847,-67.0715861461795,0.49999999999999994,0.5
0.014113886281847954,-0.028904438018798828,-1.1707630425240148,-67.07978114652137,0.5,0.5
0.014113886281847954,-0.028904438018798828,-1.170657869893534,-67.07375519867453,0.5,0.5
0.014400043524801731,-0.0295803714543581,-1.1699880827201288,-67.03537922046642,0.49999999999999994,0.5
0.014400043524801731,-0.0295803714543581,-1.1699880827201288,-67.03537922046642,0.5,0.5
0.015379918739199638,-0.031886596232652664,-1.1680611430139043,-66.92497370792358,0.5,0.5
0.018026987090706825,-0.038049496710300446,-1.162151458057033,-66.5863737016429,0.5,0.5
0.020145969465374947,-0.042896486818790436,-1.1551659998972745,-66.18613643112351,0.5,0.5
0.02303876169025898,-0.0493939183652401,-1.148681532841261,-65.81460383642232,0.5,0.5
0.02303876169025898,-0.0493939183652401,-1.148681532841261,-65.81460383642232,0.5,0.5
0.025607796385884285,-0.055065643042325974,-1.142294296562745,-65.4486421549105,0.5,0.5
0.028875092044472694,-0.062143608927726746,-1.1343563444342801,-64.99383099997259,0.5,0.5
0.03155606985092163,-0.06784730404615402,-1.1284451117003964,-64.65514231260147,0.5,0.5
0.03525453060865402,-0.07553347200155258,-1.1161843260959907,-63.95265104395426,0.5,0.5
0.038233432918787,-0.08157123625278473,-1.1087357019193902,-63.525876315455946,0.5,0.5
0.038233432918787,-0.08157123625278473,-1.1087357019193902,-63.525876315455946,0.5,0.5
0.04295723885297775,-0.09089633077383041,-1.0950786458595423,-62.7433846426531,0.5,0.5
0.04603995382785797,-0.0968247577548027,-1.0874934033091643,-62.30878225793339,0.5,0.5
0.051129747182130814,-0.10635888576507568,-1.0733800510463927,-61.50014673849516,0.5,0.5
0.051129747182130814,-0.10635888576507568,-1.0733800510463927,-61.50014673849516,0.49999999999999994,0.5
0.05425535514950752,-0.11206358671188354,-1.0657527576643864,-61.06313501859814,0.5,0.5
0.05981874093413353,-0.12200222164392471,-1.055207660922568,-60.45894548073479,0.5,0.5
0.05981874093413353,-0.12200222164392471,-1.055207660922568,-60.45894548073479,0.5,0.5
0.06304681301116943,-0.12764957547187805,-1.0478215908085018,-60.03575483601109,0.49999999999999994,0.5
0.06900577247142792,-0.13779902458190918,-1.0319778615413633,-59.127976017256145,0.5,0.5
0.06900577247142792,-0.13779902458190918,-1.0319778615413633,-59.127976017256145,0.5,0.5
0.0724068284034729,-0.14343279600143433,-1.0233578556217764,-58.63408605868603,0.5,0.5
0.07783301174640656,-0.15218929946422577,-1.0087141676993414,-57.79506454422381,0.5,0.5
0.08139941841363907,-0.1578100174665451,-1.002059594869137,-57.41378560659068,0.5,0.5
0.08139941841363907,-0.1578100174665451,-1.002059594869137,-57.41378560659068,0.5,0.5
0.08724166452884674,-0.166781947016716,-0.9851396227899519,-56.444342616974176,0.5,0.5
0.09089861810207367,-0.1722530871629715,-0.9780391464942091,-56.037515292695424,0.49999999999999994,0.5
0.09089861810207367,-0.1722530871629715,-0.9780391464942091,-56.037515292695424,0.5,0.5
0.09735499322414398,-0.18169759213924408,-0.9642686205232068,-55.24852227288171,0.5,0.5
0.10120224207639694,-0.18719185888767242,-0.9555628291791911,-54.749717171548085,0.5,0.5
0.10540761798620224,-0.19308386743068695,-0.9462514947466713,-54.21621700692985,0.5,0.5
0.10924564301967621,-0.19836710393428802,-0.9388204866098808,-53.790451603164385,0.5,0.5
0.11357996612787247,-0.2042279988527298,-0.9292361487991916,-53.24130949718424,0.5,0.5
0.11744508147239685,-0.20936529338359833,-0.9223326639981513,-52.845768954151914,0.5,0.5
0.11744508147239685,-0.20936529338359833,-0.9223326639981513,-52.845768954151914,0.5,0.5
0.12450600415468216,-0.21855902671813965,-0.9093974962674743,-52.104638435890315,0.49999999999999994,0.5
0.1285029500722885,-0.22365890443325043,-0.9027082704657012,-51.7213740292387,0.5,0.5
0.1285029500722885,-0.22365890443325043,-0.9027082704657012,-51.7213740292387,0.5,0.5
0.13570420444011688,-0.23267844319343567,-0.8913486164637137,-51.07051379819592,0.5,0.5
0.139809250831604,-0.2377243936061859,-0.8843666878903544,-50.67047875808064,0.49999999999999994,0.5
0.139809250831604,-0.2377243936061859,-0.8843666878903544,-50.67047875808064,0.5,0.5
0.14726662635803223,-0.2466985285282135,-0.8705242132391506,-49.87736338254983,0.5,0.5
0.15152840316295624,-0.2517128884792328,-0.8621834007897475,-49.39947003148886,0.5,0.5
0.15919595956802368,-0.2605416774749756,-0.8491674907611326,-48.65371332032723,0.5,0.5
0.15919595956802368,-0.2605416774749756,-0.8491674907611326,-48.65371332032723,0.5,0.5
0.1635412722826004,-0.2654500901699066,-0.8431810619794212,-48.31071621677952,0.5,0.5
0.17088210582733154,-0.2735878825187683,-0.8304988963721608,-47.58408165239753,0.5,0.5
0.17088210582733154,-0.2735878825187683,-0.8304988963721608,-47.58408165239753,0.5,0.5
0.17539049685001373,-0.2784854471683502,-0.8230000388606286,-47.15442876581676,0.5,0.5
0.18077506124973297,-0.28422731161117554,-0.8120005937982537,-46.52420698675667,0.49999999999999994,0.5
0.1853746771812439,-0.2890393137931824,-0.8039181231930463,-46.06111553303973,0.5,0.5
0.19093766808509827,-0.2947506904602051,-0.7931964560653095,-45.446809257276264,0.5,0.5
0.1955357789993286,-0.29938754439353943,-0.7859868302527472,-45.03372812634787,0.5,0.5
0.20101888477802277,-0.3048216998577118,-0.775843975843098,-44.45258537645931,0.49999999999999994,0.5
