time,x,y,theta,theta_degree,v,omega
85.13377833366394,-0.2924668788909912,-0.45645537972450256,-2.058920644080505,-117.96746325817006,0.0791800609456336,-0.00879158593404727
85.1669750213623,-0.2936300039291382,-0.4586462080478668,-2.0587954640546102,-117.96029097100696,0.07907972057349896,-0.013861712432505606
85.20030331611633,-0.2954830527305603,-0.46213284134864807,-2.059812298720248,-118.01855130581059,0.07897854227508053,-0.016913957919296275
85.23364353179932,-0.29677897691726685,-0.4645683765411377,-2.059762189882726,-118.01568028090428,0.07887688758785155,-0.014650173716367442
85.26697516441345,-0.29825469851493835,-0.46733832359313965,-2.060849884015629,-118.07800056412074,0.07877482000869175,-0.015528974133390983
85.30043458938599,-0.29945802688598633,-0.4695937931537628,-2.0609457060918013,-118.0834907646696,0.07867192063221963,-0.014437019639995451
85.33414888381958,-0.29945802688598633,-0.4695937931537628,-2.0609457060918013,-118.0834907646696,0.0785677921559252,-0.009421932048518147
85.36720657348633,-0.302212655544281,-0.4747510254383087,-2.0618985092198256,-118.13808236261227,0.0784652586958918,-0.021726804962049852
85.40028977394104,-0.3034060001373291,-0.47698312997817993,-2.061629565431228,-118.12267301859937,0.07836221798009664,-0.014958450919027502
85.4335949420929,-0.30543509125709534,-0.48077747225761414,-2.0621159540772207,-118.15054103521783,0.07825805437567052,-0.0189123829600254
85.46695470809937,-0.30543509125709534,-0.48077747225761414,-2.0621159540772207,-118.15054103521783,0.07815328703749509,-0.009860325613325779
85.5002875328064,-0.30670052766799927,-0.4831432104110718,-2.061829857503023,-118.13414890898316,0.07804817259336248,-0.015932523195478963
85.53361964225769,-0.3079531192779541,-0.4854871332645416,-2.061346290243773,-118.10644254591742,0.0779426299733852,-0.01622617654088155
85.56694626808167,-0.30931153893470764,-0.4880327880382538,-2.0606085808327235,-118.06417491015719,0.07783667549811457,-0.017184835580501972
85.60038328170776,-0.31057339906692505,-0.4904004633426666,-2.060303001013775,-118.04666647622709,0.07772993986662738,-0.017062445757856617
85.63353228569031,-0.31247657537460327,-0.49397510290145874,-2.059767914285124,-118.01600826500191,0.0776236993460391,-0.021095754771958995
85.6669533252716,-0.31247657537460327,-0.49397510290145874,-2.059767914285124,-118.01600826500191,0.07751616045580995,-0.010530324227485168
85.70028328895569,-0.3137364387512207,-0.49634382128715515,-2.059469489910101,-117.99890980780926,0.0774084892425281,-0.018083376438171116
85.73363018035889,-0.315187007188797,-0.49906980991363525,-2.060153492379115,-118.03810026246029,0.07730033935984758,-0.019440183494085855
85.76695990562439,-0.3164248466491699,-0.5013929009437561,-2.060589547261623,-118.06308436686408,0.07719182252587396,-0.01829553219950441
85.80039477348328,-0.318044513463974,-0.5044302940368652,-2.060764979148928,-118.07313587359867,0.07708253999989216,-0.020767728975537914
85.83370089530945,-0.3193076550960541,-0.5067972540855408,-2.0612313323664484,-118.09985594472494,0.07697325785473015,-0.018837846973202396
85.86707830429077,-0.3193076550960541,-0.5067972540855408,-2.0612313323664484,-118.09985594472494,0.07686332200485264,-0.011227111985346282
85.90033745765686,-0.3213585913181305,-0.5106372833251953,-2.061458365462437,-118.11286398293488,0.076753358800023,-0.024275837989975967
85.93361282348633,-0.3226237893104553,-0.5130031704902649,-2.0622710644132463,-118.15942820283095,0.07664292674079519,-0.019463291126757022
85.96695923805237,-0.32414042949676514,-0.5158373713493347,-2.062022871475293,-118.14520779498127,0.07653184338433892,-0.021261346858874604
86.00028157234192,-0.32538315653800964,-0.5181578397750854,-2.0629240941198086,-118.19684404891363,0.0764204259320955,-0.019717088096923616
86.03361630439758,-0.32538315653800964,-0.5181578397750854,-2.0629240941198086,-118.19684404891363,0.07630855382690029,-0.011829307913149557
86.06699776649475,-0.327632337808609,-0.5223511457443237,-2.063319465257025,-118.21949714641741,0.07619611195275539,-0.026699683140564697
86.10035300254822,-0.3288666307926178,-0.5246474742889404,-2.0646779040184717,-118.2973299541753,0.07608334688441669,-0.020113654939459626
86.13364887237549,-0.3288666307926178,-0.5246474742889404,-2.0646779040184717,-118.2973299541753,0.07597037345590738,-0.0121979346163379
86.16697454452515,-0.3310619592666626,-0.5287260413169861,-2.064486995418995,-118.28639169715252,0.07585689088151011,-0.026942603440853415
86.20034742355347,-0.3323104977607727,-0.5310434103012085,-2.0654780519232014,-118.34317505210255,0.07574283970904709,-0.020819629806918268
86.23379063606262,-0.3323104977607727,-0.5310434103012085,-2.0654780519232014,-118.34317505210255,0.07562813999069079,-0.012572465211115824
86.26699233055115,-0.3346182107925415,-0.5353201627731323,-2.0657565235208706,-118.35913029936326,0.0755138656435737,-0.028570490583103528
86.3003408908844,-0.33587026596069336,-0.5376356244087219,-2.0672452169033155,-118.44442614716641,0.07539868289007144,-0.02134343852289188
86.33365297317505,-0.3379589915275574,-0.5414841175079346,-2.06885195989387,-118.53648573928741,0.07528322423445606,-0.02678288291757279
