time,x,y,theta,theta_degree,v,omega
0.134,-1.6117879904430088e-05,2.5077822486249332e-05,-1.000077230750056,-57.300204509109165,0.08943835074224639,0.0004493288924019795
0.167,-2.0707859410135088e-05,3.2203465708773374e-05,-1.0001106786834246,-57.302120934524616,0.08943593427557632,-0.0015933657184157156
0.2,-2.0668736129783594e-05,3.2161156365629814e-05,-1.0001106504800013,-57.30211931858749,0.08943298799654341,-0.0014740993988094388
0.234,-2.0668272234616522e-05,3.2162194642988e-05,-1.0001106406629443,-57.30211875611156,0.08942939832599624,-0.0008714726778347513
0.267,0.0001818305187894411,-0.0002829873026542126,-0.9996600738149423,-57.27630317733253,0.08942537645273978,-0.025242895433995157
0.3,0.0007912671324144058,-0.0012297165705013637,-0.9984039354147243,-57.20433174851573,0.0894208248608423,-0.07622045898783128
0.334,0.0018532507446680458,-0.0028734033884118236,-0.9962936578218212,-57.08342174884135,0.08941558134467044,-0.13125236303883578
0.367,0.0032724168927739158,-0.005060690841309052,-0.9950835890562293,-57.014089915652335,0.08940995439268287,-0.18372097638201923
0.4,0.004844442093113117,-0.007493331975625781,-0.9989956440151774,-57.23823415402328,0.08940379785897284,-0.2012514302451244
0.434,0.006473060756037236,-0.01004149253615186,-1.004720648783036,-57.566252764913855,0.08939690092465466,-0.19547920793693557
0.467,0.008042700333296517,-0.012529890728946837,-1.0107809585953413,-57.91348293970067,0.08938966935269763,-0.1856810747951853
0.5,0.009587261819451683,-0.015011892030614175,-1.0168809925842883,-58.262989142153685,0.08938190837914103,-0.1740651726658236
0.534,0.011149810549065109,-0.01755788381098225,-1.0231444772955625,-58.62186038115441,0.08937335858904501,-0.16206042236776125
0.567,0.012651476910567262,-0.02003780857270651,-1.02888024854575,-58.95049586604263,0.08936452298681234,-0.15172926811668114
0.6,0.01414098198258356,-0.022528558931422783,-1.0342210039569275,-59.25649861051476,0.08935515820631766,-0.14233404385276469
0.634,0.01566336374918603,-0.025104737597807444,-1.0393702425906517,-59.551528251932865,0.08934495625773414,-0.13338607725279952
0.667,0.017128993017432134,-0.027612813655464034,-1.0440393322615125,-59.819047384241316,0.08933451734588538,-0.12489786062591168
0.7,0.01858344292253731,-0.03012775714143858,-1.0483797938459367,-60.06773751416749,0.08932354952233941,-0.11704427173833744
0.734,0.02007324524655283,-0.032729249779518715,-1.0525974154012994,-60.309389428873175,0.08931169624752032,-0.1097872901481268
0.767,0.021498243765964868,-0.03524008715181046,-1.0560526264008272,-60.5073584364733,0.08929965487772162,-0.10232080097480338
0.8,0.02287826133229993,-0.03768731746173075,-1.058136918829402,-60.62677959590171,0.0892870849060331,-0.09541543165736269
0.834,0.02424920327391267,-0.04012478056750627,-1.0587405919750323,-60.66136751935171,0.08927358127223943,-0.09108116116271708
0.867,0.025564122714116795,-0.0424637860046154,-1.0587156178946453,-60.65993660994831,0.08925993842721237,-0.09009274392788298
0.9,0.026883201213732368,-0.04481023956741344,-1.059002413282309,-60.67636877524526,0.08924576733336309,-0.09052423167193865
0.934,0.0282524222082413,-0.04725207103000581,-1.0608826704392114,-60.78409957473503,0.08923061444292034,-0.08956966129944337
0.967,0.029591867406984506,-0.04965999351460578,-1.0652112101154079,-61.03210662963602,0.08921537123649831,-0.08482245212509618
1.0,0.030931648592640755,-0.05209464991371177,-1.0697199475477768,-61.290438255443405,0.08919960017760227,-0.07750141100378333
1.034,0.032329285771857,-0.05465988803684039,-1.073559725263502,-61.51044131282285,0.08918279926796399,-0.07125827391476368
1.067,0.03371936835446844,-0.057230244840910736,-1.076112248276836,-61.6566901085969,0.0891659569451565,-0.06714724082869071
1.1,0.0351038295946581,-0.05980465896558558,-1.0784446551801437,-61.7903271802636,0.08914858720952686,-0.06289181635271422
1.134,0.036524172324284995,-0.06246050385950091,-1.0807240325283756,-61.92092588223502,0.08913013965334647,-0.05867301773905295
1.167,0.037897291273478226,-0.06504150643919998,-1.0827978323662797,-62.03974586050184,0.08911169959041158,-0.05468745344234096
1.2,0.03926562839422809,-0.0676259566648863,-1.0847309338698772,-62.15050441802836,0.08909273259763568,-0.05100591433527592
1.234,0.0406706744712078,-0.07029189137580208,-1.0865879449351954,-62.25690331458019,0.08907263990284664,-0.04750457235893475
1.267,0.042030037390508174,-0.07288220847805466,-1.0882692062005728,-62.35323248934514,0.08905260360737152,-0.04420440361846357
1.3,0.04338538530644969,-0.07547505751748196,-1.0898352059038086,-62.44295766305929,0.08903204090839424,-0.041155017311504
1.334,0.04477805136836123,-0.07814923767746253,-1.0913322811051436,-62.52873375370948,0.08901030471829875,-0.038254298850933954
1.367,0.046126386489637204,-0.08074727385246738,-1.0926799904750966,-62.605951812618024,0.08898867382928864,-0.03553551833469124
1.4,0.04747197992700858,-0.0833482223874701,-1.0939187986329124,-62.67693029168725,0.08896651710650416,-0.03304031419125359
1.434,0.048856268553830545,-0.08603180477944865,-1.095076037018987,-62.74323516709985,0.08894313919987061,-0.03070702655551041
1.467,0.05019841212831358,-0.08864055265013959,-1.0960824927551933,-62.80090083305121,0.08891991548784632,-0.028577221908872085
1.5,0.051538497856117214,-0.0912514251490388,-1.0969995220780289,-62.85344274293943,0.08889616655519848,-0.02665122649465818
1.534,0.05291643939806539,-0.09394198060853201,-1.0978780546646731,-62.90377895231885,0.08887114884636803,-0.024818167988191624
1.567,0.054251263684932445,-0.09655371819259037,-1.0986729724764948,-62.94932438799601,0.08884633421347221,-0.023085108133084262
1.6019999999999999,0.05558361628288197,-0.09916555134462682,-1.0994145335938,-62.9918127102686,0.08881944245336394,-0.021581549550214116
1.634,0.056953361427718945,-0.10185559321569583,-1.1001409360904661,-63.03343250755534,0.08879433955556593,-0.019504083912592677
1.67,0.0582794549523562,-0.10446450556040862,-1.1008299478667622,-63.07290997437192,0.08876550973538509,-0.018753011300563147
1.7,0.059603738672016834,-0.10707396528567731,-1.1014484643066988,-63.10834835593974,0.0887410086518893,-0.015978882458952817
1.734,0.060966031755772955,-0.10976239003399155,-1.1020563273230943,-63.14317634130129,0.08871271762456703,-0.015584238462125952
1.767,0.06228646497282093,-0.11237170159585164,-1.1025464879381588,-63.17126047582803,0.08868472738342942,-0.014334171839804413
1.8,0.06360461749731526,-0.11497962393311136,-1.103014604920039,-63.198081603208166,0.08865621402204456,-0.0131921434755473
